serialanon,fpLILEEflg,AHCIncomeEQ_LILEE,fpfullinc,fuelexpn,FuelCosteqFactor,EqAHCincDeciles_LILEE,elecmop,gasmop,aagph1819,FPGAP_LILEE_UNEQ,fpvuln,fpLILEEqdt,FPEERband,FPEERrating,DWtype,DWage,Ongas,CentralHeating,Mainfueltype,boiler,WallType,tenure4x,Loftins,EPC,SAP12,hhcompx,Ageyng,Ageold,Hhsize,ethhrp2x,Hhsick,Unoc,emphrp3x,ECO_AW,FloorArea,gorehs,HTHG,WHDBroad,FPGAP_LILEE,HousingCosts,fpbasinc,wathcost,spahcost,litecost,cookcost,fpflgb,fpflgf,FullincDeciles
18190019419,0,33943.10345,19687,1785.26,0.82,8,1,1,2337,0,1,4,4,34.2,4,4,1,1,1,1,4,1,2,4,34.2,7,7,6,1,1,1,1,3,3,5,6,0,0,0,0,20980,184.83,1097.73,467.11,35.59,0,0,3
18190019484,0,7157.627119,18646,975.05,1.21,1,1,1,548,0,1,2,1,69.86,5,3,1,1,1,5,4,2,2,1,69.86,4,1,3,4,2,2,0,1,3,1,7,1,0,0,10200,19672,156.2,272.62,492.67,53.56,0,0,3
18190019574,0,12067.58242,27943,1282.72,1.32,2,1,1,1316,0,1,2,1,71.44,1,5,1,1,1,4,3,3,2,1,71.44,3,1,3,5,1,1,0,3,4,3,9,0,0,0,5980,29438,135.63,298.14,787.66,61.29,0,0,5
18190019703,0,33954,33954,1486.93,1,8,1,1,2150,0,1,4,2,60.02,3,4,1,1,1,5,1,1,2,2,60.02,2,7,6,2,1,1,1,3,3,5,2,0,0,0,0,35721,108.49,734.85,601.58,42.01,0,0,7
18190019737,0,26863.7931,15581,1122.89,0.82,7,1,1,2548,0,1,4,2,57.94,3,5,1,1,1,1,1,1,2,2,57.94,7,7,6,1,1,2,1,3,3,4,7,0,0,0,0,17132,125.45,567.2,394.62,35.62,0,0,2
18190019806,0,15419.56522,32522,1394.72,1.21,3,2,2,950,0,0,4,2,66.78,2,5,1,1,1,3,1,4,3,2,66.78,4,4,5,4,2,2,0,1,2,2,2,0,0,0,4150,33643,111.74,447.42,776.93,58.63,0,0,6
18190019821,1,8757.5,15909,1308,1.07,1,1,1,1768,183.2811713,1,1,2,60.42,1,2,1,1,1,5,4,2,3,2,60.42,3,1,3,3,1,1,0,3,1,2,2,1,1,171.2908143,5400,10509,126.88,525.04,601.17,54.91,1,0,2
18190019949,1,11676.73267,29287,1426.19,1.32,2,3,3,693,273.2337513,1,1,2,57.34,2,2,1,1,1,5,4,2,3,2,57.34,5,1,4,5,1,1,0,1,3,2,4,1,0,206.9952662,5700,30401,204.53,476.26,680.87,64.53,0,0,6
18190019993,1,9101.724138,9829,725.52,0.82,2,1,1,652,7.130872123,0,1,2,67.9,3,6,1,1,1,5,1,4,3,2,67.9,6,5,4,1,1,2,0,1,4,1,4,0,1,8.696185516,4550,5733,38.4,306.33,345.7,35.09,1,0,1
18190020036,0,16261.53846,18204,890.22,1,4,1,1,3442,0,0,3,1,76.66,3,5,1,1,1,5,1,1,3,1,76.66,4,3,3,2,1,2,0,1,1,3,10,1,0,0,5520,19317,116.93,429.07,300.19,44.03,0,0,3
18190020169,1,14591.42857,27184,1497.85,1.21,3,1,1,3253,170.2609648,1,1,2,63.2,2,3,1,1,1,5,1,2,2,2,63.2,3,2,3,4,1,1,0,1,3,3,2,1,0,140.7115412,6756,28352,146.74,619.36,677.67,54.08,0,0,5
